      step      Total_Energy   Magnetic_Energy             Electric_Energy   Particle_Total_Energy      Particle_Energy[0]      Particle_Energy[1]              rho_avg[0]              rho_avg[1]               vx_avg[0]               vy_avg[0]               vz_avg[0]               vx_avg[1]               vy_avg[1]               vz_avg[1]
         0       1964.758729          0.000000          0.0000000000000000             1964.758729              982.656700              982.102029               -0.079577                0.079577               -0.000011                0.000030               -0.000009               -0.000016                0.000011                0.000011  
         1       1964.758282          0.000000          0.0000000000043502             1964.758282              982.656474              982.101808               -0.079577                0.079577               -0.000011                0.000030               -0.000009               -0.000016                0.000011                0.000011  
         2       1964.757391          0.000000          0.0000000000173379             1964.757391              982.656024              982.101367               -0.079577                0.079577               -0.000011                0.000030               -0.000009               -0.000016                0.000011                0.000011  
         3       1964.756055          0.000000          0.0000000000388805             1964.756055              982.655348              982.100707               -0.079577                0.079577               -0.000011                0.000030               -0.000009               -0.000016                0.000011                0.000011  
         4       1964.754276          0.000000          0.0000000000689106             1964.754276              982.654448              982.099829               -0.079577                0.079577               -0.000011                0.000030               -0.000009               -0.000016                0.000011                0.000011  
         5       1964.752057          0.000000          0.0000000001073214             1964.752057              982.653325              982.098733               -0.079577                0.079577               -0.000011                0.000030               -0.000009               -0.000016                0.000011                0.000011  
         6       1964.749401          0.000000          0.0000000001539916             1964.749401              982.651980              982.097421               -0.079577                0.079577               -0.000011                0.000030               -0.000009               -0.000016                0.000011                0.000011  
         7       1964.746312          0.000000          0.0000000002088580             1964.746312              982.650416              982.095895               -0.079577                0.079577               -0.000011                0.000030               -0.000009               -0.000016                0.000011                0.000011  
         8       1964.742793          0.000000          0.0000000002718166             1964.742793              982.648635              982.094157               -0.079577                0.079577               -0.000011                0.000030               -0.000009               -0.000016                0.000011                0.000011  
         9       1964.738850          0.000000          0.0000000003427670             1964.738850              982.646640              982.092209               -0.079577                0.079577               -0.000011                0.000030               -0.000009               -0.000016                0.000011                0.000011  
        10       1964.734488          0.000000          0.0000000004215366             1964.734488              982.644434              982.090054               -0.079577                0.079577               -0.000011                0.000030               -0.000009               -0.000016                0.000011                0.000011  
