      step      Total_Energy   Magnetic_Energy             Electric_Energy   Particle_Total_Energy      Particle_Energy[0]      Particle_Energy[1]              rho_avg[0]              rho_avg[1]               vx_avg[0]               vy_avg[0]               vz_avg[0]               vx_avg[1]               vy_avg[1]               vz_avg[1]
         0      39322.531831          0.000000          0.0000000000000000            39322.531831            19659.659648            19662.872183               -0.079577                0.079577               -0.000004               -0.000004                0.000000               -0.000001                0.000004               -0.000000  
         1      39322.531399          0.000000          0.0000000000002115            39322.531399            19659.659434            19662.871964               -0.079577                0.079577               -0.000004               -0.000004                0.000000               -0.000001                0.000004               -0.000000  
         2      39322.530534          0.000000          0.0000000000008435            39322.530534            19659.659007            19662.871527               -0.079577                0.079577               -0.000004               -0.000004                0.000000               -0.000001                0.000004               -0.000000  
         3      39322.529239          0.000000          0.0000000000018915            39322.529239            19659.658367            19662.870872               -0.079577                0.079577               -0.000004               -0.000004                0.000000               -0.000001                0.000004               -0.000000  
         4      39322.527515          0.000000          0.0000000000033478            39322.527515            19659.657515            19662.870001               -0.079577                0.079577               -0.000004               -0.000004                0.000000               -0.000001                0.000004               -0.000000  
         5      39322.525367          0.000000          0.0000000000052089            39322.525367            19659.656452            19662.868914               -0.079577                0.079577               -0.000004               -0.000004                0.000000               -0.000001                0.000004               -0.000000  
         6      39322.522796          0.000000          0.0000000000074723            39322.522796            19659.655181            19662.867615               -0.079577                0.079577               -0.000004               -0.000004                0.000000               -0.000001                0.000004               -0.000000  
         7      39322.519810          0.000000          0.0000000000101290            39322.519810            19659.653705            19662.866105               -0.079577                0.079577               -0.000004               -0.000004                0.000000               -0.000001                0.000004               -0.000000  
         8      39322.516411          0.000000          0.0000000000131707            39322.516411            19659.652024            19662.864387               -0.079577                0.079577               -0.000004               -0.000004                0.000000               -0.000001                0.000004               -0.000000  
         9      39322.512605          0.000000          0.0000000000165951            39322.512605            19659.650144            19662.862462               -0.079577                0.079577               -0.000004               -0.000004                0.000000               -0.000001                0.000004               -0.000000  
        10      39322.508397          0.000000          0.0000000000203985            39322.508397            19659.648065            19662.860332               -0.079577                0.079577               -0.000004               -0.000004                0.000000               -0.000001                0.000004               -0.000000  
